Skill,Problems,Type of question,Reason,the th
Listening,Không quen nghe số điện thoại,"Gap filling, Part 1",Chưa thành thạo kỹ thuật giải đề,Luyện kỹ thuật giải đề
Listening,Không quen nghe đánh vần tên,"Gap filling, Part 1",Chưa thành thạo kỹ thuật giải đề,Luyện kỹ thuật giải đề
Listening,Không theo kịp tốc độ bài nói,"Gap filling, Part 1","Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Có nhiều từ vựng không biết,"Gap filling, Part 1",Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Nghe thấy từ khoá giống đáp án là chọn,Multiple choice,"Vốn từ vựng còn hạn chế, Chưa biết tránh các dạng bẫy","Học thêm từ vựng, Luyện nhận biết các dạng bẫy"
Listening,Không theo kịp tốc độ bài nói,Multiple choice,"Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Có nhiều từ vựng không biết,Multiple choice,Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Thấy các đáp án giống giống nhau,Multiple choice,"Vốn từ vựng còn hạn chế, Chưa biết tránh các dạng bẫy, Chưa thành thạo kỹ thuật giải đề","Học thêm từ vựng, Luyện nhận biết các dạng bẫy, Luyện kỹ thuật giải đề"
Listening,Nghe nhưng không hiểu,Multiple choice,"Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Không theo kịp tốc độ bài nói,Map/Plan Labelling,"Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Không xác định được các phương hướng bản đồ,Map/Plan Labelling,Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Không xác định được các vị trí trên bản đồ,Map/Plan Labelling,Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Có nhiều từ vựng không biết,Map/Plan Labelling,Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Thấy các đáp án giống giống nhau,Matching Information,"Vốn từ vựng còn hạn chế, Chưa biết tránh các dạng bẫy, Chưa thành thạo kỹ thuật giải đề","Học thêm từ vựng, Luyện nhận biết các dạng bẫy, Luyện kỹ thuật giải đề"
Listening,Có nhiều từ vựng không biết,Matching Information,Vốn từ vựng còn hạn chế,Học thêm từ vựng
Listening,Không theo kịp tốc độ bài nói,Matching Information,"Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Nghe nhưng không hiểu,Matching Information,"Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Nghe thấy từ khoá giống đáp án là chọn,Matching Information,"Vốn từ vựng còn hạn chế, Chưa biết tránh các dạng bẫy","Học thêm từ vựng, Luyện nhận biết các dạng bẫy"
Listening,Không theo kịp tốc độ bài nói,"Gap filling, Part 4","Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Nghe nhưng không hiểu,"Gap filling, Part 4","Chưa luyện nghe đủ nhiều, Vốn từ vựng còn hạn chế","Luyện nghe nhiều hơn, Học thêm từ vựng"
Listening,Có nhiều từ vựng không biết,"Gap filling, Part 4",Vốn từ vựng còn hạn chế,Học thêm từ vựng
